name,iso_country,iso_region,continent,municipality,iata_code,icao_code,latitude_deg,longitude_deg,elevation_ft,scheduled_service,type,is_international,wikipedia_link
Yakima Air Terminal McAllister Field,US,US-WA,NA,Yakima,YKM,KYKM,46.56819916,-120.5439987,1099.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Yakima_Air_Terminal
Yakubu Gowon Airport,NG,NG-PL,AF,Jos,JOS,DNJO,9.639829635620115,8.869050025939941,4232.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Yakubu_Gowon_Airport
Yakubu Tali International Airport,GH,GH-NP,AF,Tamale,TML,DGLE,9.553909,-0.86606,553.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Tamale_Airport
Yakutat Airport,US,US-AK,NA,Yakutat,YAK,PAYA,59.508717,-139.660435,33.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Yakutat_Airport
Yamagata Airport,JP,JP-06,AS,Higashine,GAJ,RJSC,38.4119,140.371002,353.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Yamagata_Airport
Yamaguchi Ube Airport,JP,JP-35,AS,Ube,UBJ,RJDC,33.93,131.279007,23.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Yamaguchi_Ube_Airport
Yampa Valley Airport,US,US-CO,NA,Hayden,HDN,KHDN,40.481201,-107.218002,6606.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Yampa_Valley_Airport
Yan'an Nanniwan Airport,CN,CN-61,AS,Yan'an (Baota),ENY,ZLYA,36.479413,109.464083,,yes,medium_airport,no,https://en.wikipedia.org/wiki/Yan%27an_Nanniwan_Airport
Yancheng Nanyang International Airport,CN,CN-32,AS,Yancheng (Tinghu),YNZ,ZSYN,33.428317,120.20545,10.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Yancheng_Nanyang_International_Airport
Yangon International Airport,MM,MM-06,AS,Yangon,RGN,VYYY,16.907300949099998,96.1332015991,109.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Yangon_International_Airport
Yangyang International Airport,KR,KR-42,AS,Gonghang-ro,YNY,RKNY,38.060481,128.669822,241.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Yangyang_International_Airport
Yangzhou Taizhou Airport,CN,CN-32,AS,Yangzhou,YTY,ZSYA,32.5634,119.7198,7.0,yes,medium_airport,yes,https://en.wikipedia.org/wiki/Yangzhou_Taizhou_Airport
Yanji Chaoyangchuan Airport,CN,CN-22,AS,Yanji,YNJ,ZYYJ,42.8828010559,129.451004028,624.0,yes,medium_airport,yes,https://en.wikipedia.org/wiki/Yanji_Chaoyangchuan_Airport
Yantai Penglai International Airport,CN,CN-37,AS,Yantai,YNT,ZSYT,37.659724,120.978124,154.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Yantai_Penglai_International_Airport
Yaoundé Nsimalen International Airport,CM,CM-CE,AF,Yaoundé,NSI,FKYS,3.72256,11.5533,2278.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Yaoundé_Nsimalen_International_Airport
Yap International Airport,FM,FM-YAP,OC,Yap Island,YAP,PTYA,9.49891,138.082993,91.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Yap_International_Airport
Yariguíes Airport,CO,CO-SAN,SA,Barrancabermeja,EJA,SKEJ,7.02433,-73.8068,412.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Yarigu%C3%ADes_Airport
Yasuj Airport,IR,IR-17,AS,Yasuj,YES,OISY,30.702238,51.542988,5939.0,no,medium_airport,no,https://en.wikipedia.org/wiki/Yasuj_Airport
