location,airport,iata,latitude,longitude,region
Fresno,Fresno Yosemite International Airport,FAT,36.775767,-119.718018,Americas
Gary,Gary/Chicago International Airport,GYY,41.617087,-87.413206,Americas
Grand Rapids,Gerald R. Ford International Airport,GRR,42.880798,-85.522797,Americas
Green Bay,Green Bay–Austin Straubel International Airport,GRB,44.483459,-88.130805,Americas
Greensboro,Piedmont Triad International Airport,GSO,36.09937,-79.937262,Americas
Greenville,Greenville-Spartanburg International Airport,GSP,34.895699,-82.218903,Americas
Gulfport,Gulfport-Biloxi International Airport,GPT,30.405582,-89.069836,Americas
Harlingen,Valley International Airport,HRL,26.228500366210938,-97.65440368652344,Americas
Harrisburg,Harrisburg International Airport,MDT,40.192838,-76.762333,Americas
Hartford (CT),Bradley International Airport,BDL,41.938555,-72.688016,Americas
Hilo,Hilo International Airport,ITO,19.72135,-155.045428,Americas
Honolulu,Daniel K. Inouye International Airport,HNL,21.318387,-157.92567,Americas
Houston,George Bush Intercontinental Airport,IAH,29.9844,-95.3414,Americas
Huntsville (AL),Huntsville International Airport,HSV,34.636244,-86.774378,Americas
Indianapolis,Indianapolis International Airport,IND,39.7173,-86.294403,Americas
International Falls,Falls International Airport,INL,48.566200256347656,-93.4030990600586,Americas
Jackson (MS),Jackson–Medgar Wiley Evers International Airport,JAN,32.311199,-90.075897,Americas
Jacksonville,Jacksonville International Airport,JAX,30.492469,-81.687813,Americas
Juneau,Juneau International Airport,JNU,58.354935,-134.574416,Americas
Kailua-Kona,Kona International Airport,KOA,19.738783,-156.045603,Americas
Kansas City (MO),Kansas City International Airport,MCI,39.301699,-94.713893,Americas
Ketchikan,Ketchikan International Airport,KTN,55.35559845,-131.7140045,Americas
Key West,Key West International Airport,EYW,24.556119,-81.759579,Americas
Kissimmee,Kissimmee Gateway Airport,ISM,28.2898006439,-81.4371032715,Americas
Knoxville,McGhee Tyson Airport,TYS,35.811001,-83.994003,Americas
Lakeland,Lakeland Linder International Airport,LAL,27.989267,-82.020715,Americas
Lansing,Capital Region International Airport,LAN,42.777582,-84.585721,Americas
Las Vegas,Harry Reid International Airport,LAS,36.083361,-115.151817,Americas
Little Rock,Bill and Hillary Clinton National Airport,LIT,34.729222,-92.223591,Americas
Los Angeles,Los Angeles International Airport,LAX,33.942501,-118.407997,Americas
Louisville,Louisville International Airport,SDF,38.1706,-85.735076,Americas
Lubbock,Lubbock Preston Smith International Airport,LBB,33.663601,-101.822998,Americas
Madison (WI),Dane County Regional Airport,MSN,43.1399,-89.337502,Americas
McAllen,McAllen Miller International Airport,MFE,26.176141,-98.237965,Americas
Melbourne (FL),Melbourne Orlando International Airport,MLB,28.102009,-80.641088,Americas
Memphis,Memphis International Airport,MEM,35.043845,-89.97634,Americas
Miami,Miami International Airport,MIA,25.796011,-80.289751,Americas
Midland/Odessa,Midland International Air and Space Port,MAF,31.942499,-102.202003,Americas
Milwaukee,General Mitchell International Airport,MKE,42.947201,-87.896599,Americas
Minneapolis/St. Paul,Minneapolis/St. Paul International Airport,MSP,44.880081,-93.221741,Americas
Myrtle Beach,Myrtle Beach International Airport,MYR,33.679699,-78.928299,Americas
Nashville,Nashville International Airport,BNA,36.1245,-86.6782,Americas
New Orleans,Louis Armstrong New Orleans International Airport,MSY,29.993401,-90.264673,Americas
New York City (Queens),John F. Kennedy International Airport,JFK,40.639447,-73.779317,Americas
Newark,Newark Liberty International Airport,EWR,40.6894,-74.170545,Americas
Newburgh,Stewart International Airport,SWF,41.50421,-74.108901,Americas
Newport News,Newport News/Williamsburg International Airport,PHF,37.131901,-76.492996,Americas
Niagara Falls,Niagara Falls International Airport,IAG,43.1073,-78.946198,Americas
Norfolk (VA),Norfolk International Airport,ORF,36.895341,-76.201,Americas
Oakland,Oakland International Airport,OAK,37.720085,-122.221184,Americas
Oklahoma City,Will Rogers World Airport,OKC,35.393388,-97.598248,Americas
Omaha,Eppley Airfield,OMA,41.3032,-95.894096,Americas
Ontario,Ontario International Airport,ONT,34.056,-117.600998,Americas
Orange County (CA),John Wayne Airport,SNA,33.675063,-117.869281,Americas
Orlando,Orlando International Airport,MCO,28.429399490356445,-81.30899810791016,Americas
Palm Springs,Palm Springs International Airport,PSP,33.8297,-116.507004,Americas
Panama City (FL),Northwest Florida Beaches International Airport,ECP,30.357106,-85.795414,Americas
Pensacola,Pensacola International Airport,PNS,30.472718,-87.186639,Americas
Philadelphia,Philadelphia International Airport,PHL,39.871899,-75.241096,Americas
Phoenix,Phoenix Sky Harbor International Airport,PHX,33.435302,-112.005905,Americas
Phoenix/Mesa,Phoenix–Mesa Gateway Airport,AZA,33.3078,-111.654999,Americas
Pittsburgh,Pittsburgh International Airport,PIT,40.491501,-80.232903,Americas
Portland (ME),Portland International Jetport,PWM,43.646198,-70.309303,Americas
Portland (OR),Portland International Airport,PDX,45.588699,-122.598,Americas
Providence (Warwick),Rhode Island T. F. Green International Airport,PVD,41.725038,-71.425668,Americas
Racine,Batten International Airport,RAC,42.7606010437,-87.8152008057,Americas
Raleigh/Durham,Raleigh–Durham International Airport,RDU,35.878659,-78.7873,Americas
Reno,Reno–Tahoe International Airport,RNO,39.4991,-119.767998,Americas
Richmond (VA) (Sandston),Richmond International Airport,RIC,37.505199,-77.319702,Americas
Rochester (MN),Rochester International Airport,RST,43.908298,-92.5,Americas
Rochester (NY),Greater Rochester International Airport,ROC,43.1189,-77.672401,Americas
Rockford (IL),Chicago Rockford International Airport,RFD,42.1954,-89.097198,Americas
Sacramento,Sacramento International Airport,SMF,38.6954,-121.591003,Americas
Salt Lake City,Salt Lake City International Airport,SLC,40.78886,-111.979866,Americas
San Antonio,San Antonio International Airport,SAT,29.533701,-98.469803,Americas
San Bernardino,San Bernardino International Airport,SBD,34.096717,-117.236596,Americas
San Diego,San Diego International Airport,SAN,32.733601,-117.190002,Americas
San Francisco,San Francisco International Airport,SFO,37.619806,-122.374821,Americas
San Jose (CA),San Jose International Airport,SJC,37.362452,-121.929188,Americas
Sanford (FL),Orlando Sanford International Airport,SFB,28.774277,-81.234626,Americas
Sarasota/Bradenton,Sarasota–Bradenton International Airport,SRQ,27.394631,-82.554359,Americas
Savannah (GA),Savannah/Hilton Head International Airport,SAV,32.126591,-81.19998,Americas
Seattle,Kenmore Air Harbor Seaplane Base,LKE,47.629002,-122.338997,Americas
Sheboygan,Sheboygan County Memorial Airport,SBM,43.76959991,-87.85140228,Americas
Everett (WA),Paine Field,PAE,47.9063,-122.281998,Americas
Spokane,Spokane International Airport,GEG,47.6199,-117.533997,Americas
St. Louis,St. Louis Lambert International Airport,STL,38.748697,-90.370003,Americas
St. Petersburg (FL),St. Pete–Clearwater International Airport,PIE,27.9102,-82.687401,Americas
Syracuse,Syracuse Hancock International Airport,SYR,43.11119842529297,-76.1063003540039,Americas
Tallahassee,Tallahassee International Airport,TLH,30.401209,-84.35433,Americas
Tampa,Tampa International Airport,TPA,27.9755,-82.533203,Americas
Tucson,Tucson International Airport,TUS,32.115004,-110.938053,Americas
Tulsa,Tulsa International Airport,TUL,36.197084,-95.886225,Americas
"Washington, D.C.",Ronald Reagan Washington National Airport,DCA,38.8521,-77.037697,Americas
West Palm Beach,Palm Beach International Airport,PBI,26.683201,-80.095596,Americas
Wilkes-Barre/Scranton,Wilkes-Barre/Scranton International Airport,AVP,41.337064,-75.724232,Americas
Wilmington (NC),Wilmington International Airport,ILM,34.272345,-77.905117,Americas
Buenos Aires,Ministro Pistarini International Airport,EZE,-34.8222,-58.5358,Americas
Bariloche,San Carlos de Bariloche Airport,BRC,-41.151199,-71.157501,Americas
Comodoro Rivadavia,General Enrique Mosconi International Airport,CRD,-45.786941,-67.463355,Americas
Córdoba,Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport,COR,-31.312346,-64.208329,Americas
Corrientes,Doctor Fernando Piragine Niveyro International Airport,CNQ,-27.4455,-58.7619,Americas
El Calafate,Comandante Armando Tola International Airport,FTE,-50.280267,-72.053401,Americas
El Palomar,El Palomar Airport,EPA,-34.6099,-58.6126,Americas
Esquel,Brigadier General Antonio Parodi International Airport,EQS,-42.908001,-71.139503,Americas
Formosa,Formosa International Airport,FMA,-26.2127,-58.2281,Americas
Mar del Plata,Ástor Piazzolla International Airport,MDQ,-37.9342,-57.5733,Americas
Mendoza,Governor Francisco Gabrielli International Airport,MDZ,-32.831699,-68.7929,Americas
Neuquén,Presidente Perón International Airport,NQN,-38.949001,-68.155701,Americas
Posadas,Libertador General José de San Martín Airport,PSS,-27.3858,-55.9707,Americas
Puerto Iguazú,Cataratas del Iguazú International Airport,IGR,-25.737301,-54.4734,Americas
Resistencia,Resistencia International Airport,RES,-27.44991,-59.056125,Americas
Río Gallegos,Piloto Civil Norberto Fernández International Airport,RGL,-51.608791,-69.308948,Americas
Río Grande,Hermes Quijada International Airport,RGA,-53.7777,-67.7494,Americas
Rosario,Rosario – Islas Malvinas International Airport,ROS,-32.9036,-60.785,Americas
Salta,Martín Miguel de Güemes International Airport,SLA,-24.856001,-65.486198,Americas
San Miguel de Tucumán,Teniente Benjamín Matienzo International Airport,TUC,-26.837397,-65.104195,Americas
San Salvador de Jujuy,Gobernador Horacio Guzmán International Airport,JUJ,-24.392799,-65.097801,Americas
Santa Rosa del Conlara,Valle del Conlara Airport,RLO,-32.384701,-65.186501,Americas
Termas de Río Hondo,Termas de Río Hondo International Airport,RHD,-27.4966,-64.93595,Americas
Trelew,Almirante Marcos A. Zar Airport,REL,-43.2105,-65.2703,Americas
Ushuaia,Ushuaia – Malvinas Argentinas International Airport,USH,-54.8433,-68.2958,Americas
La Paz,El Alto International Airport,LPB,-16.510272,-68.189416,Americas
Santa Cruz de la Sierra,Viru Viru International Airport,VVI,-17.6448,-63.135399,Americas
Cochabamba,Jorge Wilstermann International Airport,CBB,-17.421105,-66.177102,Americas
Aracaju,Santa Maria Airport,AJU,-10.98394,-37.072873,Americas
Belém,Val de Cães International Airport,BEL,-1.379279,-48.476207,Americas
Belo Horizonte,Tancredo Neves International Airport,CNF,-19.63571,-43.966928,Americas
Boa Vista,Boa Vista International Airport,BVB,2.84615,-60.690648,Americas
Brasília,Brasília International Airport,BSB,-15.869167,-47.920834,Americas
Campinas,Viracopos International Airport,VCP,-23.007404,-47.134502,Americas
Campo Grande,Campo Grande International Airport,CGR,-20.469998,-54.673988,Americas
Cuiabá,Marechal Rondon International Airport,CGB,-15.6529,-56.116699,Americas
Curitiba,Afonso Pena International Airport,CWB,-25.5285,-49.1758,Americas
Florianópolis,Hercílio Luz International Airport,FLN,-27.670279,-48.552502,Americas
Fortaleza,Pinto Martins International Airport,FOR,-3.775833,-38.532222,Americas
Foz do Iguaçu,Foz do Iguaçu International Airport,IGU,-25.594167,-54.489444,Americas
Goiânia,Santa Genoveva Airport,GYN,-16.632,-49.220699,Americas
João Pessoa,Presidente Castro Pinto International Airport,JPA,-7.148691,-34.950554,Americas
Maceió,Zumbi dos Palmares International Airport,MCZ,-9.512559,-35.791839,Americas
Manaus,Eduardo Gomes International Airport,MAO,-3.03861,-60.049702,Americas
Natal,Greater Natal International Airport,NAT,-5.769822,-35.36661,Americas
Petrolina,Petrolina Airport,PNZ,-9.362422,-40.569098,Americas
Porto Alegre,Salgado Filho Porto Alegre International Airport,POA,-29.993984,-51.167482,Americas
Porto Velho,Governador Jorge Teixeira de Oliveira International Airport,PVH,-8.708491,-63.902338,Americas
Recife,Guararapes International Airport,REC,-8.12747,-34.922961,Americas
Rio Branco,Rio Branco International Airport,RBR,-9.869031,-67.893984,Americas
Rio de Janeiro,Rio de Janeiro/Galeão International Airport,GIG,50.645,-114.203,Americas
Salvador,Deputado Luís Eduardo Magalhães International Airport,SSA,-12.908611,-38.322498,Americas
São Luís,Marechal Cunha Machado International Airport,SLZ,-2.586386,-44.235008,Americas
São Paulo,São Paulo–Congonhas Airport,CGH,-23.627657,-46.654601,Americas
Teresina,Teresina Airport,THE,-5.06025,-42.823712,Americas
Uberlândia,Uberlândia Airport,UDI,-18.883579,-48.225936,Americas
Vitória,Eurico de Aguiar Salles Airport,VIX,-20.258,-40.285,Americas
Antofagasta,Andrés Sabella Gálvez International Airport,ANF,-23.445274,-70.445232,Americas
Concepción,Carriel Sur International Airport,CCP,-36.77235,-73.062828,Americas
Puerto Montt,El Tepual International Airport,PMC,-41.443093,-73.094065,Americas
Punta Arenas,Presidente Carlos Ibáñez del Campo International Airport,PUQ,-53.002602,-70.854599,Americas
Santiago,Arturo Merino Benítez International Airport,SCL,-33.393001556396484,-70.78579711914062,Americas
Armenia,El Edén International Airport,AXM,4.45278,-75.7664,Americas
Barranquilla,Ernesto Cortissoz International Airport,BAQ,10.8896,-74.7808,Americas
Bogotá,El Dorado International Airport,BOG,4.70159,-74.1469,Americas
Bucaramanga,Palonegro International Airport,BGA,7.1265,-73.1848,Americas
Buenaventura,Gerardo Tobar López Airport,BUN,3.81963,-76.9898,Americas
Cali,Alfonso Bonilla Aragón International Airport,CLO,3.542717,-76.381898,Americas
Cartagena,Rafael Núñez International Airport,CTG,10.4424,-75.513,Americas
Cúcuta,Camilo Daza International Airport,CUC,7.92757,-72.5115,Americas
Ibagué,Perales Airport,IBE,4.42161,-75.1333,Americas
Ipiales,San Luis Airport,IPI,0.861946,-77.671783,Americas
Florencia,Gustavo Artunduaga Paredes Airport,FLA,1.58919,-75.5644,Americas
Leticia,Alfredo Vásquez Cobo International Airport,LET,-4.191147,-69.942003,Americas
Maicao,Jorge Isaacs Airport,MCJ,11.2325,-72.4901,Americas
Manizales,La Nubia Airport,MZL,5.0296,-75.4647,Americas
Medellín,José María Córdova International Airport,MDE,6.16454,-75.4231,Americas
Mitú,Fabio Alberto León Bentley Airport,MVP,1.25366,-70.2339,Americas
Montería,Los Garzones Airport,MTR,8.82374,-75.8258,Americas
Neiva,Benito Salas Airport,NVA,2.95015,-75.294,Americas
Pasto,Antonio Nariño Airport,PSO,1.396722,-77.29093,Americas
Pereira,Matecaña International Airport,PEI,4.81267,-75.7395,Americas
Popayán,Guillermo León Valencia Airport,PPN,2.454359,-76.609253,Americas
Providence Island,El Embrujo Airport,PVA,13.357461,-81.357977,Americas
Quibdó,El Caraño Airport,UIB,5.69076,-76.6412,Americas
Riohacha,Almirante Padilla Airport,RCH,11.5262,-72.926,Americas
San Andrés,Gustavo Rojas Pinilla International Airport,ADZ,12.5836,-81.7112,Americas
Tolú,Golfo de Morrosquillo Airport,TLU,9.50945,-75.5854,Americas
Tumaco,La Florida Airport,TCO,1.81442,-78.7492,Americas
Santa Marta,Simón Bolívar International Airport,SMR,11.1196,-74.2306,Americas
Sincelejo,Las Brujas Airport,CZU,9.33274,-75.2856,Americas
Valledupar,Alfonso López Pumarejo Airport,VUP,10.435,-73.2495,Americas
Villavicencio,La Vanguardia Airport,VVC,4.16787,-73.6138,Americas
Yopal,El Alcaraván Airport,EYP,5.31911,-72.384,Americas
Cuenca,Mariscal Lamar International Airport,CUE,-2.88947,-78.984398,Americas
Esmeraldas,Carlos Concha Torres International Airport,ESM,0.978519,-79.626602,Americas
Guayaquil,José Joaquín de Olmedo International Airport,GYE,-2.15742,-79.883598,Americas
Machala,Santa Rosa International Airport,ETR,-3.441986,-79.996957,Americas
Manta,Eloy Alfaro International Airport,MEC,-0.9460780024528503,-80.67880249023438,Americas
Quito,Mariscal Sucre International Airport,UIO,-0.125399,-78.354306,Americas
Tulcán,Teniente Coronel Luis a Mantilla International Airport,TUA,0.809506,-77.708099,Americas
Mount Pleasant,RAF Mount Pleasant,MPN,-51.822642,-58.445777,Americas
Cayenne,Cayenne – Félix Eboué Airport,CAY,4.819964,-52.361326,Americas
Georgetown,Cheddi Jagan International Airport,GEO,6.49855,-58.254101,Americas
Asunción,Silvio Pettirossi International Airport,ASU,-25.240156,-57.519227,Americas
Ciudad del Este,Guaraní International Airport,AGT,-25.457186,-54.839544,Americas
Arequipa,Rodríguez Ballón International Airport,AQP,-16.340786,-71.569485,Americas
Chiclayo,José Quiñones González International Airport,CIX,-6.789223,-79.828254,Americas
Cusco,Alejandro Velasco Astete International Airport,CUZ,-13.535699844400002,-71.9387969971,Americas
Lima,Jorge Chávez International Airport,LIM,-12.0219,-77.114305,Americas
Trujillo,Carlos Martínez de Pinillos International Airport,TRU,-8.082382,-79.108821,Americas
Paramaribo,Johan Adolf Pengel International Airport,PBM,5.45283,-55.187801,Americas
Montevideo,Carrasco International Airport,MVD,-34.835647,-56.026497,Americas
Punta del Este,Capitán de Corbeta Carlos A. Curbelo International Airport,PDP,-34.855099,-55.094299,Americas
Rivera,Rivera International Airport,RVY,-30.9746,-55.4762,Americas
Caracas,Simón Bolívar International Airport,CCS,10.602214,-66.991174,Americas
Maracaibo,La Chinita International Airport,MAR,10.557542,-71.729307,Americas
Valencia,Arturo Michelena International Airport,VLN,10.149733,-67.928398,Americas
Aktau,Aktau Airport,SCO,43.860093,51.09086,Asia
Aktobe,Aktobe International Airport,AKX,50.248116,57.204144,Asia
Almaty,Almaty International Airport,ALA,43.354267,77.042828,Asia
Astana,Nursultan Nazarbayev International Airport,NQZ,51.027035,71.467094,Asia
Atyrau,Atyrau Airport,GUW,47.121318,51.820343,Asia
Karaganda,Karaganda Airport,KGF,49.670799,73.334396,Asia
Kokshetau,Kokshetau Airport,KOV,53.329102,69.594597,Asia
Kostanay,Kostanay Airport,KSN,53.206902,63.550301,Asia
Kyzylorda,Kyzylorda Airport,KZO,44.706902,65.592499,Asia
Oral,Oral Ak Zhol Airport,URA,51.151976,51.543652,Asia
Oskemen,Oskemen Airport,UKK,50.035033,82.496057,Asia
Pavlodar,Pavlodar Airport,PWQ,52.194982,77.073088,Asia
Petropavl,Petropavl Airport,PPK,54.775622,69.187415,Asia
Semey,Semey Airport,PLX,50.351295,80.234398,Asia
Şymkent,Şymkent International Airport,CIT,42.365021,69.47564,Asia
Taraz,Taraz Airport,DMB,42.8536,71.303596,Asia
Bishkek,Manas International Airport,FRU,,,Asia
Issyk-Kul,Issyk-Kul International Airport,IKU,42.585584,76.701181,Asia
Karakol,Karakol International Airport,IKG,42.508099,78.407799,Asia
Osh,Osh Airport,OSS,40.609001,72.793297,Asia
Bokhtar,Bokhtar International Airport,KQT,37.866315,68.864475,Asia
Dushanbe,Dushanbe Airport,DYU,38.543746,68.822977,Asia
Khujand,Khujand Airport,LBD,40.215401,69.694702,Asia
Kulob,Kulob Airport,TJU,37.988098,69.805,Asia
Ashgabat,Ashgabat Airport,ASB,37.986801,58.361,Asia
Daşoguz,Daşoguz Airport,TAZ,41.759853,59.836149,Asia
Mary,Mary International Airport,MYP,37.62353,61.895668,Asia
Türkmenabat,Turkmenabat International Airport,CRZ,38.930662,63.563982,Asia
Turkmenbashi,Turkmenbashi International Airport,KRW,40.062833,53.005085,Asia
Andijan,Andizhan Airport,AZN,40.727699,72.293999,Asia
Bukhara,Bukhara International Airport,BHK,39.775319,64.482279,Asia
Fergana,Fergana International Airport,FEG,40.358799,71.745003,Asia
Qarshi,Karshi Airport,KSQ,38.802246,65.773068,Asia
Namangan,Namangan Airport,NMA,40.984622,71.5578,Asia
Navoiy,Navoiy International Airport,NVI,40.117599,65.172658,Asia
Nukus,Nukus Airport,NCU,42.4884,59.623299,Asia
Samarkand,Samarkand International Airport,SKD,39.701842,66.981467,Asia
Tashkent,Islam Karimov Tashkent International Airport,TAS,41.2579,69.281197,Asia
Termez,Termez Airport,TMJ,37.287261,67.311869,Asia
Urgench,Urgench International Airport,UGC,41.58274,60.64338,Asia
Baotou,Baotou Donghe international Airport,BAV,40.560001,109.997002,Asia
Beihai,Beihai Fucheng Airport,BHY,21.538659,109.293683,Asia
Beijing,Beijing Capital International Airport,PEK,40.077349,116.596702,Asia
Changchun,Changchun Longjia International Airport,CGQ,43.996201,125.684998,Asia
Changsha,Changsha Huanghua International Airport,CSX,28.189199,113.220001,Asia
Changzhou,Changzhou Benniu International Airport,CZX,31.920485,119.77546,Asia
Chengdu,Chengdu Shuangliu International Airport,CTU,30.558257,103.945966,Asia
Chongqing,Chongqing Jiangbei International Airport,CKG,29.712254,106.651895,Asia
Dalian,Dalian Zhoushuizi International Airport,DLC,38.965719,121.538477,Asia
Dandong,Dandong Langtou Airport,DDG,40.025453,124.28669,Asia
Datong,Datong Yungang Airport,DAT,40.06139,113.480509,Asia
Dunhuang,Dunhuang Mogao International Airport,DNH,40.161953,94.812827,Asia
Enshi City,Enshi Xujiaping Airport,ENH,30.320299,109.485001,Asia
Fuzhou,Fuzhou Changle International Airport,FOC,25.929254,119.672524,Asia
Ganzhou,Ganzhou Huangjin Airport,KOW,25.853333,114.778889,Asia
Guangzhou,Guangzhou Baiyun International Airport,CAN,23.392401,113.299004,Asia
Guilin,Guilin Liangjiang International Airport,KWL,25.219828,110.039553,Asia
Guiyang,Guiyang Longdongbao International Airport,KWE,26.541805,106.80402,Asia
Haikou,Haikou Meilan International Airport,HAK,19.9349,110.459,Asia
Hangzhou,Hangzhou Xiaoshan International Airport,HGH,30.23609,120.428865,Asia
Harbin,Harbin Taiping International Airport,HRB,45.623402,126.25,Asia
Hefei,Hefei Xinqiao International Airport,HFE,31.98779,116.9769,Asia
Heihe,Heihe Aihui Airport,HEK,50.171621,127.308884,Asia
Hohhot,Hohhot Baita International Airport,HET,40.849658,111.824598,Asia
Huai'an,Huai'an Lianshui International Airport,HIA,33.792712,119.126657,Asia
Huangshan City,Huangshan Tunxi International Airport,TXN,29.733299,118.255997,Asia
Hulunbuir,Hulunbuir Hailar Airport,HLD,49.208616,119.822301,Asia
Jiamusi,Jiamusi Dongjiao Airport,JMU,46.842793,130.46426,Asia
Jieyang,Jieyang Chaoshan International Airport,SWA,23.552,116.5033,Asia
Jinan,Jinan Yaoqiang International Airport,TNA,36.857201,117.216003,Asia
Kunming,Kunming Changshui International Airport,KMG,25.110313,102.936743,Asia
Lanzhou,Lanzhou Zhongchuan International Airport,LHW,36.515202,103.620003,Asia
Lhasa,Lhasa Gonggar Airport,LXA,29.298001,90.911951,Asia
Lianyungang,Lianyungang Baitabu Airport,LYG,34.41406,119.17899,Asia
Lijiang,Lijiang Sanyi International Airport,LJG,26.677483,100.244944,Asia
Linyi,Linyi Qiyang Airport,LYI,35.052918,118.411828,Asia
Luoyang,Luoyang Beijiao Airport,LYA,34.7411,112.388,Asia
Mangshi,Dehong Mangshi Airport,LUM,24.4011,98.5317,Asia
Manzhouli,Manzhouli Xijiao Airport,NZH,49.566667,117.33,Asia
Mudanjiang,Mudanjiang Hailang International Airport,MDG,44.525172,129.568634,Asia
Nanchang,Nanchang Changbei International Airport,KHN,28.864815,115.90271,Asia
Nanjing,Nanjing Lukou International Airport,NKG,31.735032,118.865949,Asia
Nanning,Nanning Wuxu International Airport,NNG,22.598071,108.181922,Asia
Nantong,Nantong Xingdong International Airport,NTG,32.073566,120.980076,Asia
Ningbo,Ningbo Lishe International Airport,NGB,29.82670021057129,121.46199798583984,Asia
Ordos City,Ordos Ejin Horo International Airport,DSN,39.493514,109.8599,Asia
Qingdao,Qingdao Jiaodong International Airport,TAO,36.361953,120.088171,Asia
Qinhuangdao,Qinhuangdao Beidaihe Airport,BPE,39.666384,119.061384,Asia
Qionghai,Qionghai Bo'ao International Airport,BAR,19.140951,110.452766,Asia
Qiqihar,Qiqihar Sanjiazi Airport,NDG,47.229969,123.914179,Asia
Quanzhou,Quanzhou Jinjiang International Airport,JJN,24.795855,118.588599,Asia
Sanya,Sanya Phoenix International Airport,SYX,18.3029,109.412003,Asia
Shanghai,Shanghai Hongqiao International Airport,SHA,31.198104,121.33426,Asia
Shenyang,Shenyang Taoxian International Airport,SHE,41.6398,123.483668,Asia
Shenzhen,Shenzhen Bao'an International Airport,SZX,22.639474,113.803262,Asia
Shijiazhuang,Shijiazhuang Zhengding International Airport,SJW,38.280701,114.696999,Asia
Taiyuan,Taiyuan Wusu International Airport,TYN,37.746899,112.627998,Asia
Tianjin,Tianjin Binhai International Airport,TSN,39.124401092499994,117.346000671,Asia
Ulanqab,Ulanqab Jining Airport,UCB,41.130266,113.107274,Asia
Ürümqi,Ürümqi Diwopu International Airport,URC,43.913584,87.479372,Asia
Wanzhou,Wanzhou Wuqiao Airport,WXN,30.8017,108.433,Asia
Weihai,Weihai Dashuibo Airport,WEH,37.187099,122.228996,Asia
Wenzhou,Wenzhou Yongqiang Airport,WNZ,27.910572,120.853465,Asia
Wuhan,Wuhan Tianhe International Airport,WUH,30.774798,114.213723,Asia
Wuxi,Sunan Shuofang International Airport,WUX,31.496952,120.43038,Asia
Wuyishan,Wuyishan Airport,WUS,27.7019,118.000999,Asia
Xiamen,Xiamen Gaoqi International Airport,XMN,24.543889,118.127454,Asia
Xi'an,Xi'an Xianyang International Airport,XIY,34.442207,108.762385,Asia
Xining,Xining Caojiabao International Airport,XNN,36.52775,102.040215,Asia
Xinzhou,Xinzhou Wutaishan Airport,WUT,38.597456,112.969173,Asia
Xishuangbanna,Xishuangbanna Gasa International Airport,JHG,21.974648,100.762224,Asia
Xuzhou,Xuzhou Guanyin Airport,XUZ,34.059056,117.555278,Asia
Yancheng,Yancheng Nanyang Airport,YNZ,33.428317,120.20545,Asia
Yangzhou,Yangzhou Taizhou International Airport,YTY,32.5634,119.7198,Asia
Yanji,Yanji Airport,YNJ,42.8828010559,129.451004028,Asia
Yantai,Yantai Penglai International Airport,YNT,37.659724,120.978124,Asia
Yichang,Yichang Sanxia Airport,YIH,30.554132,111.482563,Asia
Yinchuan,Yinchuan Hedong International Airport,INC,38.322758,106.393214,Asia
Yiwu,Yiwu Airport,YIW,29.342095,120.03116,Asia
Yuncheng,Yuncheng Guangong Airport,YCU,35.117823,111.034023,Asia
Zhangjiajie,Zhangjiajie Hehua Airport,DYG,29.104749,110.442786,Asia
Zhanjiang,Zhanjiang Wuchuan Airport,ZHA,21.481667,110.590278,Asia
Zhengzhou,Zhengzhou Xinzheng International Airport,CGO,34.526497,113.849165,Asia
Zhuhai,Zhuhai Jinwan Airport,ZUH,22.006399,113.375999,Asia
Zunyi,Zunyi Xinzhou Airport,ZYI,27.810723,107.247189,Asia
Chek Lap Kok,Hong Kong International Airport,HKG,22.31184,113.914862,Asia
Akita,Akita Airport,AXT,39.615601,140.218994,Asia
Aomori,Aomori Airport,AOJ,40.733777,140.689477,Asia
Fukuoka,Fukuoka Airport,FUK,33.585899353027344,130.4510040283203,Asia
Hakodate,Hakodate Airport,HKD,41.77,140.822006,Asia
Hiroshima,Hiroshima Airport,HIJ,34.4361,132.919006,Asia
Kagoshima,Kagoshima Airport,KOJ,31.8034,130.718994,Asia
Kitakyushu,Kitakyushu Airport,KKJ,33.845901,131.035004,Asia
Komatsu,Komatsu Airport,KMQ,36.393407,136.406895,Asia
Nagasaki,Nagasaki Airport,NGS,32.916901,129.914001,Asia
Nagoya,Chubu Centrair International Airport,NGO,34.858398,136.804993,Asia
Naha,Naha Airport,OKA,26.192437,127.639804,Asia
Niigata,Niigata Airport,KIJ,37.954166,139.112189,Asia
Ōita,Oita Airport,OIT,33.479400634799994,131.736999512,Asia
Okayama,Okayama Airport,OKJ,34.756901,133.854996,Asia
Osaka,Kansai International Airport,KIX,34.427299,135.244003,Asia
Sapporo,New Chitose Airport,CTS,42.774753,141.690414,Asia
Sendai,Sendai Airport,SDJ,38.139702,140.917007,Asia
Shizuoka,Shizuoka Airport,FSZ,34.795022,138.190976,Asia
Tokyo,Haneda Airport,HND,35.549678,139.786958,Asia
Taipa,Macau International Airport,MFM,22.149599,113.592003,Asia
Ölgii,Ölgii International Airport,ULG,48.993301,89.922501,Asia
Ulaanbaatar,Chinggis Khaan International Airport,UBN,47.646916,106.819833,Asia
Pyongyang,Pyongyang International Airport,FNJ,39.224098,125.669998,Asia
Busan,Gimhae International Airport,PUS,35.179501,128.938004,Asia
