name,iso_country,iso_region,continent,municipality,iata_code,icao_code,latitude_deg,longitude_deg,elevation_ft,scheduled_service,type,is_international,wikipedia_link
Elmira Corning Regional Airport,US,US-NY,NA,Elmira/Corning,ELM,KELM,42.1599006652832,-76.8916015625,954.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Elmira-Corning_Regional_Airport
Emmonak Airport,US,US-AK,NA,Emmonak,EMK,PAEM,62.78609848,-164.4909973,13.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Emmonak_Airport
Eppley Airfield,US,US-NE,NA,Omaha,OMA,KOMA,41.3032,-95.894096,984.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Eppley_Airfield
Erie International Tom Ridge Field,US,US-PA,NA,Erie,ERI,KERI,42.083127,-80.173867,732.0,yes,medium_airport,yes,https://en.wikipedia.org/wiki/Erie_International_Airport
Eugene Airport,US,US-OR,NA,Eugene,EUG,KEUG,44.124599,-123.211998,374.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Eugene_Airport
Eugene F. Kranz Toledo Express Airport,US,US-OH,NA,Toledo,TOL,KTOL,41.5868,-83.8078,683.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Toledo_Express_Airport
Eugenio Maria De Hostos Airport,PR,PR-U-A,NA,Mayaguez,MAZ,TJMZ,18.255699157714844,-67.14849853515625,28.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Eugenio_Mar%C3%ADa_de_Hostos_Airport
Evansville Regional Airport,US,US-IN,NA,Evansville,EVV,KEVV,38.0369987488,-87.5324020386,418.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Evansville_Regional_Airport
Fairbanks International Airport,US,US-AK,NA,Fairbanks,FAI,PAFA,64.815102,-147.856003,439.0,yes,medium_airport,yes,https://en.wikipedia.org/wiki/Fairbanks_International_Airport
Falls International Airport,US,US-MN,NA,International Falls,INL,KINL,48.566200256347656,-93.4030990600586,1185.0,yes,medium_airport,yes,https://en.wikipedia.org/wiki/Falls_International_Airport
Fayetteville Regional Airport - Grannis Field,US,US-NC,NA,Fayetteville,FAY,KFAY,34.991199,-78.880302,189.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Fayetteville_Regional_Airport
Flagstaff Pulliam Airport,US,US-AZ,NA,Flagstaff,FLG,KFLG,35.139757,-111.669826,7014.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Flagstaff_Pulliam_Airport
Florence Regional Airport,US,US-SC,NA,Florence,FLO,KFLO,34.18539810180664,-79.7238998413086,146.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Florence_Regional_Airport
Ford Airport,US,US-MI,NA,Kingsford,IMT,KIMT,45.81911,-88.114557,1182.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Ford_Airport_(Iron_Mountain)
Fort Lauderdale Hollywood International Airport,US,US-FL,NA,Fort Lauderdale,FLL,KFLL,26.072599,-80.152702,9.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Fort_Lauderdale–Hollywood_International_Airport
Fort Smith Regional Airport,US,US-AR,NA,Fort Smith,FSM,KFSM,35.336601,-94.367401,469.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Fort_Smith_Regional_Airport
Fort Wayne International Airport,US,US-IN,NA,Fort Wayne,FWA,KFWA,40.978896,-85.194465,814.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Fort_Wayne_International_Airport
Fort Yukon Airport,US,US-AK,NA,Fort Yukon,FYU,PFYU,66.571651,-145.249987,433.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Fort_Yukon_Airport
Four Corners Regional Airport,US,US-NM,NA,Farmington,FMN,KFMN,36.741199,-108.230003,5506.0,no,medium_airport,no,https://en.wikipedia.org/wiki/Four_Corners_Regional_Airport
Frederick Douglass Greater Rochester International Airport,US,US-NY,NA,Rochester,ROC,KROC,43.1189,-77.672401,559.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Greater_Rochester_International_Airport
Frederick W. Smith International Airport,US,US-TN,NA,Memphis,MEM,KMEM,35.043845,-89.97634,341.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Memphis_International_Airport
Fresno Yosemite International Airport,US,US-CA,NA,Fresno,FAT,KFAT,36.775767,-119.718018,336.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Fresno_Yosemite_International_Airport
Friday Harbor Airport,US,US-WA,NA,Friday Harbor,FRD,KFHR,48.523654,-123.024645,113.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Friday_Harbor_Airport
Gainesville Regional Airport,US,US-FL,NA,Gainesville,GNV,KGNV,29.6900997162,-82.2717971802,152.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Gainesville_Regional_Airport
Gambell Airport,US,US-AK,NA,Gambell,GAM,PAGM,63.767694,-171.733303,27.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Gambell_Airport
