State,City,FAA,IATA,ICAO,Airport,Role,Enplanements
OHIO,Toledo,TOL,TOL,KTOL,Eugene F. Kranz Toledo Express Airport,P-N,"66,614"
OKLAHOMA,Lawton,LAW,LAW,KLAW,Lawton–Fort Sill Regional Airport,P-N,"45,031"
OKLAHOMA,Oklahoma City,OKC,OKC,KOKC,OKC Will Rogers International Airport,P-S,"2,243,575"
OKLAHOMA,Stillwater,SWO,SWO,KSWO,Stillwater Regional Airport,P-N,"34,729"
OKLAHOMA,Tulsa,TUL,TUL,KTUL,Tulsa International Airport,P-S,"1,627,181"
OREGON,Eugene,EUG,EUG,KEUG,Mahlon Sweet Field,P-S,"824,952"
OREGON,Medford,MFR,MFR,KMFR,Rogue Valley International–Medford Airport,P-S,"503,733"
OREGON,North Bend,OTH,OTH,KOTH,Southwest Oregon Regional Airport (was North Bend Municipal),P-N,"20,945"
OREGON,Portland,PDX,PDX,KPDX,Portland International Airport,P-M,"8,639,088"
OREGON,Redmond,RDM,RDM,KRDM,Roberts Field,P-S,"601,152"
PENNSYLVANIA,Allentown,ABE,ABE,KABE,Lehigh Valley International Airport,P-S,"468,130"
PENNSYLVANIA,Altoona,AOO,AOO,KAOO,Altoona–Blair County Airport,P-N,"10,616"
PENNSYLVANIA,Erie,ERI,ERI,KERI,Erie International Airport,P-N,"65,380"
PENNSYLVANIA,Harrisburg,MDT,MDT,KMDT,Harrisburg International Airport,P-S,"803,428"
PENNSYLVANIA,Johnstown,JST,JST,KJST,John Murtha Johnstown–Cambria County Airport,P-N,"19,341"
PENNSYLVANIA,Lancaster,LNS,LNS,KLNS,Lancaster Airport,P-N,"18,573"
PENNSYLVANIA,Latrobe,LBE,LBE,KLBE,Arnold Palmer Regional Airport,P-N,"59,578"
PENNSYLVANIA,Philadelphia,PHL,PHL,KPHL,Philadelphia International Airport,P-L,"12,754,034"
PENNSYLVANIA,Pittsburgh,PIT,PIT,KPIT,Pittsburgh International Airport,P-M,"4,668,137"
PENNSYLVANIA,State College,UNV,SCE,KUNV,State College Regional Airport,P-N,"147,911"
PENNSYLVANIA,Wilkes-Barre / Scranton,AVP,AVP,KAVP,Wilkes-Barre/Scranton International Airport,P-N,"221,803"
RHODE ISLAND,Block Island,BID,BID,KBID,Block Island State Airport,P-N,"11,867"
RHODE ISLAND,Providence,PVD,PVD,KPVD,Rhode Island T. F. Green International Airport,P-S,"1,984,916"
RHODE ISLAND,Westerly,WST,WST,KWST,Westerly State Airport,P-N,"12,320"
SOUTH CAROLINA,Charleston,CHS,CHS,KCHS,Charleston International Airport / Charleston AFB,P-M,"3,115,194"
SOUTH CAROLINA,Columbia,CAE,CAE,KCAE,Columbia Metropolitan Airport,P-S,"654,460"
SOUTH CAROLINA,Florence,FLO,FLO,KFLO,Florence Regional Airport,P-N,"24,728"
SOUTH CAROLINA,Greenville,GSP,GSP,KGSP,Greenville–Spartanburg International Airport (Roger Milliken Field),P-S,"1,412,702"
SOUTH CAROLINA,Hilton Head,HXD,HHH,KHXD,Hilton Head Airport,P-N,"108,775"
SOUTH CAROLINA,Myrtle Beach,MYR,MYR,KMYR,Myrtle Beach International Airport,P-S,"1,894,929"
SOUTH DAKOTA,Aberdeen,ABR,ABR,KABR,Aberdeen Regional Airport,P-N,"23,705"
SOUTH DAKOTA,Pierre,PIR,PIR,KPIR,Pierre Regional Airport,P-N,"14,887"
SOUTH DAKOTA,Rapid City,RAP,RAP,KRAP,Rapid City Regional Airport,P-S,"418,183"
SOUTH DAKOTA,Sioux Falls,FSD,FSD,KFSD,Sioux Falls Regional Airport (Joe Foss Field),P-S,"701,353"
SOUTH DAKOTA,Watertown,ATY,ATY,KATY,Watertown Regional Airport,P-N,"12,064"
TENNESSEE,Chattanooga,CHA,CHA,KCHA,Chattanooga Metropolitan Airport (Lovell Field),P-S,"557,741"
TENNESSEE,Knoxville,TYS,TYS,KTYS,McGhee Tyson Airport,P-S,"1,639,080"
TENNESSEE,Memphis,MEM,MEM,KMEM,Memphis International Airport,P-M,"2,439,366"
TENNESSEE,Nashville,BNA,BNA,KBNA,Nashville International Airport (Berry Field),P-L,"12,058,688"
TENNESSEE,Tri-Cities,TRI,TRI,KTRI,Tri-Cities Airport,P-N,"229,860"
TEXAS,Abilene,ABI,ABI,KABI,Abilene Regional Airport,P-N,"94,579"
TEXAS,Amarillo,AMA,AMA,KAMA,Rick Husband Amarillo International Airport,P-N,"402,315"
TEXAS,Austin,AUS,AUS,KAUS,Austin–Bergstrom International Airport,P-L,"10,678,073"
TEXAS,Beaumont,BPT,BPT,KBPT,Jack Brooks Regional Airport (was Southeast Texas Regional),P-N,"33,907"
TEXAS,Brownsville,BRO,BRO,KBRO,Brownsville/South Padre Island International Airport,P-N,"188,157"
TEXAS,College Station,CLL,CLL,KCLL,Easterwood Field,P-N,"68,316"
TEXAS,Corpus Christi,CRP,CRP,KCRP,Corpus Christi International Airport,P-N,"369,393"
TEXAS,Dallas,DAL,DAL,KDAL,Dallas Love Field,P-M,"8,654,991"
TEXAS,Dallas–Fort Worth,DFW,DFW,KDFW,Dallas Fort Worth International Airport,P-L,"42,351,316"
TEXAS,Del Rio,DRT,DRT,KDRT,Del Rio International Airport,P-N,0
TEXAS,El Paso,ELP,ELP,KELP,El Paso International Airport,P-S,"2,071,894"
TEXAS,Harlingen,HRL,HRL,KHRL,Valley International Airport,P-S,"603,561"
TEXAS,Houston,IAH,IAH,KIAH,George Bush Intercontinental/Houston Airport,P-L,"23,349,157"
TEXAS,Houston,HOU,HOU,KHOU,William P. Hobby Airport,P-M,"7,116,967"
TEXAS,Killeen,GRK,GRK,KGRK,Killeen Regional Airport / Robert Gray Army Airfield,P-N,"117,523"
TEXAS,Laredo,LRD,LRD,KLRD,Laredo International Airport,P-N,"172,726"
TEXAS,Longview,GGG,GGG,KGGG,East Texas Regional Airport,P-N,"35,057"
TEXAS,Lubbock,LBB,LBB,KLBB,Lubbock Preston Smith International Airport,P-S,"563,180"
TEXAS,McAllen,MFE,MFE,KMFE,McAllen Miller International Airport,P-S,"625,670"
TEXAS,Midland / Odessa,MAF,MAF,KMAF,Midland International Air and Space Port,P-S,"761,865"
TEXAS,San Angelo,SJT,SJT,KSJT,San Angelo Regional Airport (Mathis Field),P-N,"49,493"
TEXAS,San Antonio,SAT,SAT,KSAT,San Antonio International Airport,P-M,"5,466,684"
TEXAS,Tyler,TYR,TYR,KTYR,Tyler Pounds Regional Airport,P-N,"51,296"
TEXAS,Waco,ACT,ACT,KACT,Waco Regional Airport,P-N,"53,849"
TEXAS,Wichita Falls,SPS,SPS,KSPS,Wichita Falls Municipal Airport / Sheppard Air Force Base,P-N,"29,702"
UTAH,Cedar City,CDC,CDC,KCDC,Cedar City Regional Airport,P-N,"11,855"
UTAH,Moab,CNY,CNY,KCNY,Canyonlands Regional Airport,P-N,"10,625"
UTAH,Ogden,OGD,OGD,KOGD,Ogden–Hinckley Airport,P-N,"15,582"
UTAH,Provo,PVU,PVU,KPVU,Provo Municipal Airport,P-N,"455,219"
UTAH,St. George,SGU,SGU,KSGU,St. George Regional Airport,P-N,"161,201"
UTAH,Salt Lake City,SLC,SLC,KSLC,Salt Lake City International Airport,P-L,"13,543,570"
VERMONT,Burlington,BTV,BTV,KBTV,Patrick Leahy Burlington International Airport,P-S,"670,636"
VIRGINIA,Charlottesville,CHO,CHO,KCHO,Charlottesville–Albemarle Airport,P-N,"351,138"
VIRGINIA,Highland Springs,RIC,RIC,KRIC,Richmond International Airport (Byrd Field),P-S,"2,456,422"
VIRGINIA,Newport News,PHF,PHF,KPHF,Newport News/Williamsburg International Airport (Patrick Henry Field),P-N,"68,787"
VIRGINIA,Norfolk,ORF,ORF,KORF,Norfolk International Airport,P-S,"2,444,897"
VIRGINIA,Roanoke,ROA,ROA,KROA,Roanoke–Blacksburg Regional Airport (Woodrum Field),P-N,"382,103"
VIRGINIA,Staunton / Waynesboro / Harrisonburg,SHD,SHD,KSHD,Shenandoah Valley Regional Airport,P-N,"8,762"
VIRGINIA,Timberlake,LYH,LYH,KLYH,Lynchburg Regional Airport (Preston Glenn Field),P-N,"81,477"
VIRGINIA,"Washington, D.C. / Arlington",DCA,DCA,KDCA,Ronald Reagan Washington National Airport,P-L,"12,750,892"
VIRGINIA,"Washington, D.C. / Dulles / Chantilly",IAD,IAD,KIAD,Dulles International Airport,P-L,"13,003,234"
WASHINGTON,Bellingham,BLI,BLI,KBLI,Bellingham International Airport,P-N,"266,703"
WASHINGTON,Eastsound,ORS,ESD,KORS,Orcas Island Airport,P-N,"9,512"
WASHINGTON,Everett,PAE,PAE,KPAE,Paine Field (Snohomish County Airport),P-N,"275,996"
WASHINGTON,Friday Harbor,FHR,FRD,KFHR,Friday Harbor Airport,P-N,"12,898"
WASHINGTON,Pasco,PSC,PSC,KPSC,Tri-Cities Airport,P-S,"476,639"
WASHINGTON,"Pullman / Moscow, Idaho",PUW,PUW,KPUW,Pullman–Moscow Regional Airport,P-N,"64,580"
WASHINGTON,Seattle,BFI,BFI,KBFI,King County International Airport (Boeing Field),P-N,"28,769"
WASHINGTON,Seattle / Tacoma (SeaTac),SEA,SEA,KSEA,Seattle–Tacoma International Airport,P-L,"25,414,592"
WASHINGTON,Spokane,GEG,GEG,KGEG,Spokane International Airport (Geiger Field),P-S,"2,064,412"
WASHINGTON,Walla Walla,ALW,ALW,KALW,Walla Walla Regional Airport,P-N,"36,873"
WASHINGTON,Wenatchee,EAT,EAT,KEAT,Pangborn Memorial Airport,P-N,"44,459"
WASHINGTON,Yakima,YKM,YKM,KYKM,Yakima Air Terminal (McAllister Field),P-N,"41,471"
WEST VIRGINIA,Charleston,CRW,CRW,KCRW,Yeager Airport,P-N,"202,303"
WEST VIRGINIA,Clarksburg,CKB,CKB,KCKB,North Central West Virginia Airport (was Harrison-Marion Regional),P-N,"42,288"
WEST VIRGINIA,Huntington,HTS,HTS,KHTS,Tri-State Airport (Milton J. Ferguson Field),P-N,"93,330"
WISCONSIN,Appleton / Fox Cities,ATW,ATW,KATW,Appleton International Airport,P-S,"540,349"
WISCONSIN,Eau Claire,EAU,EAU,KEAU,Chippewa Valley Regional Airport,P-N,"22,289"
WISCONSIN,Green Bay,GRB,GRB,KGRB,Green Bay–Austin Straubel International Airport,P-N,"338,127"
WISCONSIN,La Crosse,LSE,LSE,KLSE,La Crosse Regional Airport,P-N,"40,608"
WISCONSIN,Madison,MSN,MSN,KMSN,Dane County Regional Airport (Truax Field),P-S,"1,156,399"
WISCONSIN,Milwaukee,MKE,MKE,KMKE,Milwaukee Mitchell International Airport,P-M,"3,104,054"
WISCONSIN,Mosinee,CWA,CWA,KCWA,Central Wisconsin Airport,P-N,"90,087"
WISCONSIN,Rhinelander,RHI,RHI,KRHI,Rhinelander–Oneida County Airport,P-N,"24,826"
WYOMING,Casper,CPR,CPR,KCPR,Casper–Natrona County International Airport,P-N,"99,658"
WYOMING,Cheyenne,CYS,CYS,KCYS,Cheyenne Regional Airport (Jerry Olson Field),P-N,"27,602"
WYOMING,Cody,COD,COD,KCOD,Yellowstone Regional Airport,P-N,"37,437"
WYOMING,Gillette,GCC,GCC,KGCC,Gillette–Campbell County Airport,P-N,"30,321"
WYOMING,Jackson,JAC,JAC,KJAC,Jackson Hole Airport,P-S,"518,754"
WYOMING,Laramie,LAR,LAR,KLAR,Laramie Regional Airport,P-N,"19,061"
WYOMING,Riverton,RIW,RIW,KRIW,Central Wyoming Regional Airport (was Riverton Regional),P-N,"21,624"
WYOMING,Rock Springs,RKS,RKS,KRKS,Southwest Wyoming Regional Airport (Rock Springs–Sweetwater County Airport),P-N,"21,541"
WYOMING,Sheridan,SHR,SHR,KSHR,Sheridan County Airport,P-N,"29,471"
GUAM,Agana / Tamuning,GUM,GUM,PGUM,Antonio B. Won Pat International Airport,P-N,"932,832"
NORTHERN MARIANAS,"Obyan, Saipan Island",GSN,SPN,PGSN,Saipan International Airport (Francisco C. Ada),P-N,"234,042"
NORTHERN MARIANAS,Tinian Island,TNI,TIQ,PGWT,Tinian International Airport (West Tinian),P-N,"30,538"
PUERTO RICO,Aguadilla,BQN,BQN,TJBQ,Rafael Hernández Airport,P-N,"360,345"
PUERTO RICO,Ceiba,RVR,NRR,TJRV,José Aponte de la Torre Airport,P-N,"19,681"
PUERTO RICO,Culebra,CPX,CPX,TJCP,Benjamín Rivera Noriega Airport,P-N,"14,663"
PUERTO RICO,Ponce,PSE,PSE,TJPS,Mercedita Airport,P-N,"137,553"
PUERTO RICO,San Juan,SIG,SIG,TJIG,Fernando Luis Ribas Dominicci Airport,P-N,"16,844"
PUERTO RICO,San Juan,SJU,SJU,TJSJ,Luis Muñoz Marín International Airport,P-M,"6,490,669"
PUERTO RICO,Vieques,VQS,VQS,TJVQ,Antonio Rivera Rodríguez Airport,P-N,"37,756"
U.S. VIRGIN ISLANDS,"Charlotte Amalie, St. Thomas",STT,STT,TIST,Cyril E. King Airport,P-S,"821,945"
U.S. VIRGIN ISLANDS,"Christiansted, St. Croix",STX,STX,TISX,Henry E. Rohlsen Airport,P-N,"265,243"
